no adults,no children,weekend ss,week mf,meal plan,car parking,leadtime,arrival year,arrival month,arrival date,market segment,repeated guest,cancellations,bookings not canceled,avg price,special requests,booking_status
0.5,0,0.142857143,0.117647059,0.333333333,0,0.505643341,0,0.818181818,0.033333333,0,0,0,0,0.12037037,0,Not_Canceled
0.5,0,0.285714286,0.176470588,0,0,0.011286682,1,0.909090909,0.166666667,0.25,0,0,0,0.197555556,0.2,Not_Canceled
0.25,0,0.285714286,0.058823529,0.333333333,0,0.002257336,1,0.090909091,0.9,0.25,0,0,0,0.111111111,0,Canceled
0.5,0,0,0.117647059,0.333333333,0,0.476297968,1,0.363636364,0.633333333,0.25,0,0,0,0.185185185,0,Canceled
0.5,0,0.142857143,0.058823529,0,0,0.108352144,1,0.272727273,0.333333333,0.25,0,0,0,0.175,0,Canceled
0.5,0,0,0.117647059,0.666666667,0,0.781038375,1,0.727272727,0.4,0.25,0,0,0,0.212962963,0.2,Canceled
0.5,0,0.142857143,0.176470588,0.333333333,0,0.076749436,0,0.818181818,0.466666667,0.25,0,0,0,0.199166667,0.2,Not_Canceled
0.5,0,0.142857143,0.176470588,0.333333333,0,0.187358916,1,1,0.833333333,0.25,0,0,0,0.195574074,0.2,Not_Canceled
0.75,0,0,0.235294118,0.333333333,0,0.273137698,1,0.545454545,0.166666667,0,0,0,0,0.179444444,0.2,Not_Canceled
0.5,0,0,0.294117647,0.333333333,0,0.099322799,1,0.818181818,0.566666667,0.25,0,0,0,0.247111111,0.6,Not_Canceled
0.25,0,0.142857143,0,0,0,0,1,0.727272727,0.333333333,0.25,0,0,0,0.157462963,0,Not_Canceled
0.25,0,0.285714286,0.058823529,0.333333333,0,0.079006772,1,0.272727273,0.966666667,0.25,0,0,0,0.26,0.2,Not_Canceled
0.5,0,0.285714286,0.058823529,0,0,0.06772009,1,0.909090909,0.833333333,0.25,0,0,0,0.162962963,0,Canceled
0.25,0,0.285714286,0,0.333333333,0,0.214446953,1,0.909090909,0.633333333,0.25,0,0,0,0.166666667,0.4,Canceled
